specie,X,Y
Msch,-295034.7603,8027162.335
Msch,-293966.9183,8027204.937
Msch,-295034.7603,8027162.335
Msch,-295034.7603,8027162.335
Msch,-291160.6379,8037358.577
Msch,-291160.6379,8037358.577
Msch,-291160.6379,8037358.577
Msch,-269840.9941,8039304.773
Msch,-276292.3951,8040171.297
Msch,-276292.3951,8040171.297
Msch,-330489.2795,8280276.992
Msch,-329313.1724,8247947.759
Msch,-329313.1724,8247947.759
Msch,-268340.4244,7973560.512
Msch,-267187.6783,7971375.611
Msch,-267187.6783,7971375.611
Msch,-262930.8953,7971544.147
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-262798.9036,7968203.675
Msch,-285832.5287,8093347.514
Msch,-285832.5287,8093347.514
Msch,-285832.5287,8093347.514
Msch,-285832.5287,8093347.514
Msch,-317750.5862,8198146.816
Msch,-316872.3279,8174741.456
Msch,-316872.3279,8174741.456
Msch,-321892.0941,8193527.175
Unknown,-334894,8166982
Unknown,-325284,8150607
Unknown,-326503,8152730
Unknown,-326144,8149643
Unknown,-348465,8192512
Unknown,-355139,8179220
Unknown,-325657,8150964
Unknown,-334894,8166982
Unknown,-326288,8153363
Unknown,-326431,8157075
Unknown,-333893,8164233
Unknown,-327793,8169116
Unknown,-327148,8152395
Unknown,-348249,8186936
Unknown,-325284,8150607
Unknown,-326431,8157075
Unknown,-326431,8157075
Unknown,-327271,8158121
Unknown,-326216,8151501
Unknown,-336615,8165054
Unknown,-359169,8190232
Unknown,-220116,7886516
Unknown,-335254,8226686
Unknown,-220527,7887166
Unknown,-333020,8239330
Unknown,-331699,8248294
Unknown,-327656,8239637
Unknown,-332594,8248943
Unknown,-300719,8141315
Unknown,-323005,8208833
Unknown,-336247,8227658
Unknown,-336276,8227625
Unknown,-332594,8248943
Unknown,-352698,8185836
Unknown,-220635,7886991
Unknown,-328584,8237928
Unknown,-216117,7884381
Unknown,-216117,7884381
Unknown,-330383,8237862
Unknown,-323324,8241842
Unknown,-288763,8065701
Unknown,-295535,8023363
Unknown,-285865,8048616
Unknown,-283841,8077048
Unknown,-299247,8037395
Unknown,-286178,8115072
Unknown,-268304,8063564
Unknown,-270780,8038990
Unknown,-288761,8065717
Unknown,-311459,8075056
Unknown,-292352,8133262
Unknown,-289069,8120556
Unknown,-286747,8126109
Unknown,-297907,8094170
Unknown,-286564,8125282
Unknown,-300280,8060431
Unknown,-294089,8084887
Unknown,-292303,8083059
Unknown,-325322,8150642
Unknown,-325284,8150607
Unknown,-299279,8057681
Unknown,-330245,8234146
Unknown,-284737,8074053
Unknown,-301769,8052933
Unknown,-300060,8054860
Unknown,-327076,8150537
Unknown,-286712,8126032
Unknown,-270976,8064355
Unknown,-295217,8033974
Unknown,-295316,8025291
Unknown,-277816,8059618
Unknown,-277686,8037764
Unknown,-325174,8150781
Unknown,-324532,8150481
Unknown,-350185,8190580
Unknown,-350185,8190580
Unknown,-316287,8197457
Unknown,-325288,8150610
Unknown,-268483,7972610
Unknown,-325657,8150964
Unknown,-290757,8022684
Unknown,-294643,8027023
Unknown,-285046,8074351
Unknown,-261832,7966197
Unknown,-294644,8027022
Unknown,-257924,7926020
Unknown,-262793,7970977
Unknown,-266413,7972692
Unknown,-295281,8027323
Unknown,-292090,8036748
Unknown,-300024,8056892
Unknown,-278709,8059582
Unknown,-275287,8063431
Unknown,-269940,8063635
Unknown,-284628,8074228
Unknown,-269644,8079444
Unknown,-285338,8092793
Unknown,-290765,8094445
Unknown,-327038,8152569
Unknown,-325389,8156354
Unknown,-327253,8158143
Unknown,-353452,8185041
Unknown,-351657,8185112
Unknown,-330615,8247325
Unknown,-328816,8247391
Unknown,-331549,8248221
Unknown,-285447,8092618
Unknown,-285482,8092580
Unknown,-289089,8094339
Unknown,-217035,7885274
Unknown,-327000,8148680
Unknown,-300896,8053432
Unknown,-326704,8159405
Unknown,-290009,8094164
Unknown,-312975,8208290
Unknown,-311594,8207411
Unknown,-269233,8064591
Unknown,-313177,8210593
Unknown,-256583,7974938
Unknown,-291893,8020707
Unknown,-306975,8071540
Unknown,-353523,8186917
Unknown,-334709,8165299
Unknown,-286643,8010132
Unknown,-306916,8071572
Unknown,-327000,8148680
Unknown,-299877,8057750
Unknown,-306958,8071631
Unknown,-284812,8075906
Unknown,-215199,7883488
Unknown,-278893,8061264
Unknown,-327276,8158731
Unknown,-284056,8092857
Unknown,-284138,8092668
Unknown,-327000,8148680
Unknown,-299692,8045575
Unknown,-284037,8078280
Unknown,-283769,8078290
Unknown,-284768,8074083
Unknown,-299512,8057548
Unknown,-291077,8037486
Unknown,-264891,8062309
Unknown,-270150,8039603
Unknown,-276732,8110976
Unknown,-281204,8109682
Unknown,-336268,8163827
Unknown,-284934,8074465
Unknown,-284582,8086315
Unknown,-299978,8057266
Unknown,-299512,8057533
Unknown,-284401,8073597
Unknown,-307979,8205986
Unknown,-287055,8126504
Unknown,-287167,8126329
Unknown,-287167,8126329
Unknown,-279798,8082655
Unknown,-288056,8112692
Unknown,-282335,8085982
Unknown,-285819,8092202
Unknown,-279827,8082700
Unknown,-290903,8108308
Unknown,-294825,8027109
Unknown,-284215,8078288
Unknown,-284297,8078099
Unknown,-294825,8027109
Unknown,-279734,8082511
Unknown,-280042,8082856
Unknown,-327573,8239826
Unknown,-277988,8059471
Unknown,-278070,8059282
Unknown,-326856,8151817
Unknown,-327090,8158631
Unknown,-278292,8059645
Unknown,-284962,8074479
Unknown,-308135,8067840
Unknown,-270201,8040933
Unknown,-331699,8248294
Unknown,-299969,8057452
Unknown,-306913,8071577
Unknown,-299542,8057547
Unknown,-317072,8197599
Unknown,-286561,8125298
